"title","rating","summary","release_date"
"Hera Pheri (2000)","8.2","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?","31 March 2000 (India)"
"Baby (2015)","8.0","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","23 January 2015 (USA)"
